Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
224.52,171.7,0,98.18,96.17,206.99,441.61,57.16,8.13,0,3992.28,97.88,-1231.45
225.56,212.84,0,98.18,96.21,206.29,436.27,52.36,8.17,0,3982.25,98.42,-1231.83
226.56,120.19,0,98.4,96.29,205.17,440.84,53.81,8.17,0,3984.56,97.4,-1231.83
227.59,98.94,0,98.14,96.29,204.9,436.65,54.72,8.17,0,3969.19,96.09,-1231.83
228.62,177.07,0,98.18,96.36,204.17,435.89,55.56,8.13,0,3986.11,96.46,-1231.83
229.63,300.49,0,98.21,96.36,203.61,438.56,55.94,8.13,0,3978.43,95.58,-1231.83
230.66,265.6,0,98.14,96.4,203.32,437.03,56.32,8.17,0,3980.74,95.37,-1231.83
231.66,225.36,0,98.14,96.4,203.2,435.51,56.86,8.13,0,3979.94,95.6,-1231.83
232.66,90.69,0,98.06,96.48,201.68,433.6,55.94,8.06,0,3971.5,95.9,-1231.83
233.66,262.92,0,98.14,96.48,203.04,440.46,57.01,8.06,0,3989.18,95.39,-1231.83
234.7,309.87,0,98.1,96.51,203.08,436.27,56.09,8.02,0,3977.63,95.62,-1231.45
235.7,180.29,0,97.99,96.51,202.37,439.32,56.7,7.98,0,3989.97,95.86,-1231.45
236.7,109.27,0,97.91,96.63,201.36,438.94,56.09,7.98,0,3970.71,96.04,-1231.83
237.7,225.36,0,98.18,96.63,201.28,440.08,55.33,7.94,0,3983.8,95.95,-1231.45
238.73,206.59,0,98.29,96.63,200.99,438.18,56.47,7.98,0,3978.43,96.02,-1231.83
239.74,106.42,0,98.4,96.7,200.52,438.56,56.25,7.98,0,3977.63,96.98,-1231.83
240.8,425.68,0,98.56,96.7,200.24,436.27,57.24,7.98,0,3963.78,96.25,-1231.83
241.8,360.58,0,98.67,96.74,200.1,439.32,57.92,7.98,0,3975.32,97.23,-1231.83
242.83,97.86,0,98.56,96.82,199.07,440.46,48.39,7.98,0,3969.15,97.26,-1231.83
243.87,95.35,0,98.56,96.86,199.01,441.23,43.28,7.98,0,3965.33,98.44,-1231.83
244.87,200.32,0,98.4,96.93,199.02,440.08,48.77,7.98,0,3954.54,97.35,-1231.83
245.9,109.32,0,98.79,96.97,198.8,441.61,48.7,7.94,0,3966.84,98.63,-1231.83
246.9,83.86,0,98.75,97.05,197.36,438.18,53.88,7.98,0,3956.09,98.61,-1231.83
247.94,218.74,0,98.75,97.05,196.94,441.61,51.14,7.94,0,3966.09,97.95,-1231.83
248.94,133.55,0,98.9,97.09,196.52,442.37,53.2,7.98,0,3958.37,97.77,-1231.83
249.94,148.74,0,98.9,97.09,196.51,443.13,54.8,7.98,0,3967.6,98.37,-1231.45
250.97,148.74,0,98.82,97.12,196.34,441.61,50.37,8.02,0,3959.92,98.7,-1231.83
251.97,94.89,0,99.05,97.12,196.15,437.79,52.59,7.98,0,3946.86,98.26,-1231.83
253.01,177.08,0,99.09,97.16,195.91,436.27,50.91,8.02,0,3949.92,96.65,-1231.45
254.01,161.67,0,99.01,97.16,195.7,437.41,43.21,8.02,0,3937.58,96.7,-1231.45
255.15,136.15,0,100.58,98.46,186.15,424.83,55.18,8.89,0,3864.34,88,-1231.83
256.22,91.22,0,100.77,98.53,185.45,423.31,61.81,8.93,0,3870.47,85.14,-1231.45
258.1,0,0,100.23,98.8,186.12,19.94,63.18,9.7,0,0,34.46,-1231.83
259.12,521.14,0,98.82,98.53,182.53,438.56,68.83,9.58,0,3925.17,102.03,-1231.83
260.12,428.18,0,98.86,98.57,182.51,437.41,69.28,9.58,0,3925.17,102.94,-1231.83
261.31,475.77,0,98.86,98.61,182.48,439.32,70.43,9.62,0,3916.69,102.64,-1231.45
262.32,277.37,0,98.9,98.73,182.46,439.7,67,9.58,0,3917.48,100.87,-1231.83
263.51,67,0,99.09,99.07,181.73,434.74,68.45,9.62,0,3918.24,99.26,-1231.83
264.54,70.16,0,99.09,99.3,181.7,443.89,49.08,9.62,0,3945.91,97.88,-1231.83
265.7,86.86,0,99.32,99.45,181.43,440.84,46.26,9.62,0,3950.53,97.02,-1231.83
266.76,256.67,0,99.36,99.45,181.41,446.18,51.75,9.62,0,3955.15,95.83,-1231.45
267.86,303.37,0,98.86,99.53,181.4,441.99,63.03,9.62,0,3959.77,94.83,-1231.83
269.01,379.02,0,98.98,99.53,181.44,446.94,46.79,9.62,0,3961.28,94.39,-1231.45
270.05,247.9,0,99.62,99.56,181.33,443.89,62.8,9.62,0,3968.21,94.58,-1231.83
271.08,131.85,0,100.65,99.56,181.4,449.23,61.13,9.66,0,3975.93,93.99,-1231.83
272.08,163.9,0,100.65,99.6,181.37,444.66,59.37,9.62,0,3972.83,92.76,-1231.45
273.15,59.76,0,100.69,99.64,181.41,446.18,56.02,9.7,0,3953.6,90.8,-1231.45
274.18,148.75,0,100.77,99.64,181.44,441.99,51.06,9.7,0,3952.84,89.99,-1231.83
275.21,120.46,0,100.96,99.64,181.53,443.51,55.48,9.73,0,3952.08,86.05,-1231.45
276.24,87.65,0,102.18,99.87,178.87,435.51,61.96,9.85,0,3925.09,84.49,-1231.45
277.28,137.73,0,102.1,99.94,178.65,439.7,67.45,9.85,0,3938.95,86.09,-1231.45
278.28,151.69,0,102.14,100.02,178.55,440.08,43.82,9.85,0,3923.58,85.42,-1231.83
279.37,74.42,0,101.95,100.1,178.52,434.36,65.01,9.89,0,3904.35,82.44,-1231.83
280.38,133.55,0,102.03,100.14,178.82,433.98,66.46,9.89,0,3902.8,82.27,-1231.45
281.44,159.64,0,102.1,100.14,178.23,436.27,67,9.92,0,3915.89,82.6,-1231.45
282.57,253.53,0,102.1,100.1,178.2,435.13,68.52,9.92,0,3883.57,78.78,-1231.45
283.63,239.46,0,102.18,99.98,177.83,430.55,72.56,9.92,0,3872.78,80.71,-1231.45
284.63,124.35,0,102.22,100.25,177.74,427.12,67.68,10,0,3866.61,80.48,-1231.83
285.7,166.58,0,102.26,100.25,177.44,427.12,65.85,10,0,3851.2,79.71,-1231.45
286.71,58.22,6.08,102.33,100.06,186.4,452.66,74.32,11.22,0,3925.92,94.6,-1231.45
287.72,231.99,3.64,102.26,100.14,186.4,454.57,76.76,11.26,0,3935.12,95.02,-1231.45
288.75,128.23,4.25,102.18,100.29,186.29,450.38,76.15,11.26,0,3941.29,96.56,-1231.07
289.81,112.68,7.3,101.99,100.4,186.01,451.9,73.1,11.3,0,3945.91,95.65,-1231.07
290.94,312.05,8.6,101.95,100.48,185.97,454.19,71.8,11.34,0,3942.85,95.18,-1231.07
291.97,116.21,32.39,101.76,100.59,185.56,455.33,48.01,11.34,0,3945.91,93.41,-1231.07
292.97,144.23,9.13,101.72,100.67,185.39,456.09,71.27,11.37,0,3955.9,92.5,-1231.45
293.98,200.33,8.98,101.65,100.67,185.23,454.95,71.42,11.41,0,3949.77,90.64,-1231.07
295.07,260.58,12.56,101.65,100.67,185.05,454.57,67.84,11.41,0,3953.6,90.59,-1231.45
296.23,132.23,37.35,101.57,100.75,185.11,461.81,43.05,11.41,0,3975.13,89.96,-1231.45
297.23,81.95,15,101.57,100.82,184.97,460.67,65.4,11.45,0,3971.31,85.05,-1231.07
298.36,139.87,27.28,101.57,100.82,184.87,457.24,53.12,11.41,0,3970.52,82.39,-1231.07
299.42,255.42,17.6,101.61,100.82,184.86,456.86,62.8,11.41,0,3957.46,82.11,-1231.07
300.58,143.77,31.63,101.68,100.82,184.53,459.53,48.77,11.41,0,3964.38,83.79,-1230.69
301.61,100.5,6.69,101.76,100.82,184.53,457.24,73.71,11.45,0,3952.84,81.88,-1231.07
302.62,75.13,8.14,101.91,100.82,184.2,453.81,72.26,11.45,0,3960.52,81.43,-1231.07
303.65,90.63,31.25,102.03,100.78,183.77,453.04,49.15,11.53,0,3953.6,81.5,-1231.07
304.65,92.46,13.18,102.18,100.82,182.87,450.76,67.23,11.56,0,3950.53,82.85,-1231.07
305.75,93.91,23.39,102.37,100.82,182.74,453.04,57.01,11.68,0,3962.08,84.09,-1231.45
306.75,116.31,27.28,102.48,100.86,182.19,452.28,53.12,11.75,0,3952.84,85.58,-1231.07
307.84,133.81,35.74,102.64,100.86,181.48,456.86,44.66,11.75,0,3968.25,84.81,-1231.07
308.91,109.47,23.54,102.83,100.9,180.88,451.52,56.86,11.75,0,3963.59,83.67,-1231.07
309.94,115.9,10.35,102.9,100.97,180.6,451.14,70.05,11.72,0,3952.84,86.54,-1231.07
311.07,256.66,9.21,102.94,100.94,180.52,451.14,71.19,11.72,0,3960.52,88.38,-1231.07
312.1,109.37,5.93,103.02,101.01,179.85,452.28,74.47,11.75,0,3959.01,87.52,-1231.07
313.13,309.87,6.92,103.09,101.05,179.22,445.42,73.48,11.72,0,3938.19,86.79,-1231.07
314.2,201.65,4.02,103.17,101.09,179.08,451.14,76.38,11.72,0,3945.91,86.7,-1231.07
315.2,400.65,20.88,103.21,101.09,179.03,449.99,59.52,11.75,0,3945.15,86.12,-1230.69
316.29,262.93,10.58,103.21,101.13,178.67,450.76,69.82,11.75,0,3948.22,87.17,-1231.07
317.45,208.45,13.63,103.25,101.17,178.32,452.66,66.77,11.79,0,3955.9,85.58,-1230.69
318.45,106.06,15.84,103.32,101.24,177.3,453.04,64.56,11.83,0,3953.6,85.28,-1231.07
319.49,81.23,11.8,103.44,101.43,176.86,448.09,68.6,11.98,0,3954.39,84.81,-1231.07
322.14,0,17.83,103.48,101.47,176.72,452.28,62.57,12.06,0,3945.91,86.23,-1231.07
323.36,93.82,23.01,103.51,101.55,175.96,451.9,57.39,12.14,0,3938.98,87.33,-1231.07
324.36,111.89,32.85,103.55,101.7,175.43,449.99,47.55,12.21,0,3932.06,89.03,-1231.07
325.39,52.71,24.54,103.59,101.85,174.53,447.33,55.86,12.25,0,3933.57,88.17,-1231.45
326.44,78.11,22.32,103.59,101.93,173.84,447.33,58.08,12.36,0,3932.02,87.33,-1230.69
327.51,124.84,19.12,103.59,102.04,173.81,453.43,61.28,12.36,0,3952.08,87,-1231.07
327.92,125.99,13.02,104.35,104.18,176.46,445.04,67.38,14.39,0,3825.8,67.38,-1230.69
329,69.09,8.68,104.5,104.1,176.79,448.09,71.72,14.69,0,3835.04,67.91,-1230.31
330.07,258,2.5,104.66,104.06,176.73,443.89,77.9,14.84,0,3829.62,67.41,-1230.31
331.1,205,19.81,104.77,104.06,176.89,446.94,60.59,14.99,0,3845.03,68.43,-1230.31
332.1,70.36,2.58,105.11,103.95,177.2,446.94,77.82,15.26,0,3848.89,68.99,-1230.69
333.1,73.45,4.02,105.31,103.87,177.18,448.09,76.38,15.57,0,3840.41,68.96,-1230.31
334.12,246.01,11.65,105.38,103.87,177.38,445.04,68.75,15.53,0,3824.25,66.76,-1230.31
335.15,147.59,4.18,105.46,103.87,177.42,446.18,76.22,15.61,0,3825.04,69.55,-1230.31
336.27,159.23,11.57,105.57,103.91,177.44,448.09,68.83,15.53,0,3821.18,72.09,-1230.31
337.4,150,11.8,105.65,103.87,177.49,442.75,68.6,15.45,0,3820.39,69.69,-1230.31
338.45,114.53,5.55,105.72,103.87,177.71,441.61,74.85,15.3,0,3804.22,70.95,-1230.31
339.47,230.63,26.9,105.76,103.91,177.69,437.41,53.5,15.22,0,3797.3,70.22,-1230.69
340.47,34.62,4.63,105.95,104.02,177.81,434.36,75.77,15.41,0,3818.12,69.93,-1230.31
341.52,297.68,11.5,105.99,104.02,177.9,439.32,68.9,15.34,0,3815.81,68.64,-1230.69
342.65,219.99,13.48,106.11,104.52,177.9,435.89,66.92,15.26,0,3788.85,69.34,-1230.31
343.7,87.9,7,106.07,104.56,177.47,437.79,73.4,15.26,0,3786.55,67.14,-1230.31
344.77,120.94,9.9,106.03,104.6,177.29,446.94,70.5,15.15,0,3862.67,72.15,-1230.31
345.8,514.29,0.9,106.26,105.36,172.18,403.1,79.5,14.65,0,3588.91,66.85,-1229.93
346.75,361.31,8.42,103.48,104.63,253.99,464.48,51.98,6.91,207.23,3958.78,60.35,0.64
347.85,496.77,9.11,103.51,104.63,254.24,459.14,51.29,6.91,218.25,3957.23,60.38,0.64
348.88,309.6,0,103.63,104.6,254.53,464.1,61.81,6.87,263.26,3949.47,60.27,0.64
349.94,518.39,4.38,103.7,104.6,254.83,464.86,56.02,6.91,263.84,3968.09,60.59,0.64
350.95,604.82,4.46,103.74,104.56,255,463.34,55.94,6.87,264.94,3968.06,60.38,0.64
352.05,794.88,0,103.82,104.48,255.03,460.67,61.35,6.87,100.58,3968.85,60.35,0.64
353.08,863.99,10.56,103.82,104.52,255.18,466.01,49.84,6.87,109.68,3954.88,60.18,0.64
354.19,794.88,6.29,103.86,104.52,255.41,462.19,54.11,6.87,271.58,3948.71,57.57,0.64
355.22,719.99,24.97,103.89,104.52,255.57,461.05,35.43,6.87,92.26,3947.16,58.68,0.64
356.23,499.18,26.42,103.93,104.52,255.71,467.91,33.98,6.87,89.18,3954.88,58.92,0.64
